File,Latitude Start,Longitude Start,Depth,Size Fraction Lower Threshold,Size Fraction Upper Threshold,Temperature,Salinity Sensor,Oxygen Sensor,Nitrate Sensor,Chlorophyll Sensor
ERR562609,18.5667,66.522,5,20,180,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562682,-20.9406,-35.196,5,180,2000,23.349542,37.101367,206.194333,0.030608,0.033622
ERR562414,34.4064,15.043,5,180,2000,,,,,
ERR562408,-20.9514,-35.2273,5,20,180,23.349542,37.101367,206.194333,0.030608,0.033622
ERR562441,-9.1504,-140.5216,5,0.22,3,26.518986,35.396729,190.724,5.111856,0.286662
ERR562665,20.8183,63.5047,5,0.8,5,25.581433,36.530058,104.908417,,0.129697
ERR562716,-30.1367,-43.2899,5,0.8,2000,19.854083,36.32425,221.47475,-0.385346,0.053173
ERR562500,-25.8051,-111.7202,5,0.8,5,25.14875,36.402683,200.538167,-1.567491,0.013449
ERR562377,18.5667,66.522,5,20,180,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562663,-8.8995,-140.2866,150,180,2000,,,,,
ERR562725,-8.903,-140.2801,0-150,5,20,,,,,
ERR562726,37.0541,1.9478,42,0.8,5,17.36746,,,,0.553274
ERR562673,-29.5333,37.9117,65,5,20,22.250309,35.335545,207.446227,-0.112031,0.214573
ERR562362,42.4593,17.9594,5,180,2000,18.622617,37.929742,217.561083,,0.219085
ERR562461,-16.9601,-100.6335,5,0.8,2000,22.76873,35.97144,208.8654,2.568726,0.203347
ERR562391,19.0393,64.4913,5,0.8,5,26.2314,36.617917,199.9355,0.889376,0.161808
ERR562552,36.5533,-6.5669,40,0.8,5,20.408907,36.63313,,,0.090621
ERR562539,-5.2514,-85.1696,5,20,180,24.943108,34.748175,205.992583,11.688971,0.238224
ERR562453,20.8215,63.512,5,180,2000,25.84865,36.530908,211.5675,0.343943,0.160363
ERR562696,-25.826,-111.7294,188,0.8,5,20.171605,35.845669,210.5781,-0.73316,0.176523
ERR562590,41.6686,2.7996,5,0.8,2000,,,,,
ERR562385,-47.1863,-58.2902,5,0.8,5,7.321517,34.048642,305.012167,17.091069,0.310844
ERR562443,23.36,37.2183,5,5,20,25.824383,39.74725,188.416583,-0.541919,0
ERR562569,20.8222,63.5133,17,5,20,25.37395,36.549267,211.606583,0.367767,0.353707
ERR562672,2.0399,-84.5599,5,5,20,27.902167,33.17585,199.898917,0.451517,0.201947
ERR562418,42.4552,17.9348,5,0.8,20,18.142625,38.114217,218.536917,,0.151466
ERR562644,1.9958,-84.576,5,20,180,27.617558,33.3676,198.635833,1.210114,0.28167
ERR562442,20.8116,63.5128,20,20,180,25.268343,36.545436,208.654571,0.387014,0.489547
ERR562704,19.0284,64.5126,25,5,20,25.494408,,154.699917,1.230122,0.604752
ERR562648,-31.0551,4.668,5,20,180,16.948525,35.690458,234.236,2.096308,0.545147
ERR562364,39.8386,17.4155,5,0.8,5,17.041483,37.759667,220.927083,,0.180911
ERR562608,39.3885,19.3906,5,20,180,18.342533,38.182917,218.016833,,0.121845
ERR562589,-12.9214,-96.0953,50,180,2000,19.431989,35.43615,224.853222,0.369746,0.389897
ERR562395,5.9996,73.8994,80,180,2000,27.944825,35.257125,112.2575,0.890848,0.384299
ERR562605,18.5743,66.5029,5,180,2000,27.2061,36.2858,192.8985,-0.306531,0.093048
ERR562606,18.5918,66.622,5,5,20,26.81765,36.285367,193.3535,-1.415582,0.099089
ERR562711,18.4917,39.8583,60,180,2000,27.588632,38.834904,178.256286,-0.148095,0.159383
ERR562371,38.4761,20.1705,5,0.8,20,19.168658,38.356667,212.903417,,0.121845
ERR562400,6.0098,74.0607,5,180,2000,29.980283,34.56155,189.25475,-1.47882,0.006724
ERR562482,18.3967,39.8767,5,20,180,27.59865,38.646858,184.061167,-0.927087,0.186697
ERR562413,36.5533,-6.5669,5,0.8,5,20.5251,36.6324,,,0.078
ERR562693,18.5584,66.4725,25,180,2000,26.748267,36.369233,192.536833,-0.737324,0.242524
ERR562487,-16.953,53.9825,70,20,180,24.924556,34.899611,193.198222,0.244232,0.388691
ERR562502,39.8661,17.3868,60,20,180,15.979564,38.266721,220.961429,,0.178162
ERR562722,2.0574,-84.5546,5,180,2000,27.902167,33.17585,199.898917,0.451517,0.201947
ERR562692,-8.9748,-139.2091,115,20,180,25.740267,35.705141,182.899823,6.190604,0.303829
ERR562723,-12.9723,-96.0122,50,5,20,20.649431,35.544655,216.790338,1.501977,0.366887
ERR562521,-9.1504,-140.5216,5,3,20,26.518986,35.396729,190.724,5.111856,0.286662
ERR562406,5.9998,73.9067,80,0.8,5,27.723425,35.103505,132.77885,0.569531,0.388348
ERR562634,-47.2007,-57.9446,40,0.8,5,6.975635,34.057594,306.211529,17.111823,1.01772
ERR562459,-16.9581,-100.6588,5,20,180,22.76873,35.97144,208.8654,2.568726,0.203347
ERR562427,35.759,14.2574,5,5,20,21.4395,37.89245,207.791417,,0.048898
ERR562388,-35.1808,26.2879,5,180,2000,21.81684,35.44666,207.0439,,0.215292
ERR562712,39.0862,5.78,60,180,2000,15.946067,37.940067,,,0.407467
ERR562651,-8.9948,-139.2172,5,180,2000,26.5644,35.363833,186.984333,5.948386,0.138982
ERR562677,-9.0063,-139.1394,115,0.8,2000,24.69625,36.097575,179.916875,2.333576,0.295808
ERR562374,14.5644,70.0096,70,20,180,25.48675,36.27325,82.928,10.372569,0.348912
ERR562636,-29.5333,37.9117,65,5,20,22.250309,35.335545,207.446227,-0.112031,0.214573
ERR562700,-8.9971,-139.1963,5,0.8,5,26.54413,35.3662,186.2407,3.986359,0.166512
ERR562566,39.1633,5.916,5,0.8,5,23.8526,37.9751,,,-0.0247
ERR562392,22.1233,38.1983,40,0.8,2000,27.13995,38.98795,184.704,0.04326,0.0366
ERR562386,-20.9354,-35.1803,5,0.8,5,23.349542,37.101367,206.194333,0.030608,0.033622
ERR562515,33.9178,32.8849,5,20,180,20.45375,39.425058,207.567167,-0.74885,0.0084
ERR562537,-35.1728,26.2868,5,5,20,21.81684,35.44666,207.0439,,0.215292
ERR562585,33.9179,32.898,5,0.8,5,20.460612,39.425208,207.738375,-0.447961,0.01585
ERR562581,-32.12,17.6987,5,5,20,12.881967,34.849892,250.060667,0.517466,1.331539
ERR562611,-20.4091,-3.1759,5,0.8,5,19.776808,36.376225,215.650833,0.168013,0.324315
ERR562698,39.0609,5.9422,55,5,20,16.151933,37.8232,,,0.434367
ERR562576,2.0299,-84.5546,30,0.8,2000,26.532035,34.344808,203.127654,3.886605,0.737378
ERR562594,41.6686,2.7996,5,5,20,,,,,
ERR562397,-30.1872,-43.2834,5,20,180,19.854083,36.32425,221.47475,-0.385346,0.053173
ERR562475,39.0609,5.9422,55,0.8,5,16.151933,37.8232,,,0.434367
ERR562646,14.6059,69.9776,5,0.8,5,29.089367,36.024883,187.42925,-1.343153,0.020173
ERR562510,35.7405,14.3238,5,180,2000,,,,,
ERR562703,-9.0727,-140.5922,120,180,2000,,,,,
ERR562460,-13.0023,-95.9759,5,0.8,2000,25.2512,35.835267,200.233917,4.590737,0.287892
ERR562655,18.5745,66.4895,25,20,180,26.897,36.2986,193.990333,-1.006357,0.134262
ERR562670,-8.9111,-142.5571,5,0.8,5,26.780158,35.427733,187.302833,4.985942,0.233673
ERR562462,18.4183,39.865,60,20,180,27.539945,38.874264,176.693523,-0.067251,0.162554
ERR562496,-31.0536,4.6742,5,5,20,16.948525,35.690458,234.236,2.096308,0.545147
ERR562639,39.4046,19.3886,50,20,180,15.771337,38.413912,236.70925,,0.175103
ERR562423,6.0019,73.8949,5,20,180,29.980283,34.56155,189.25475,-1.47882,0.006724
ERR562448,35.7444,14.3083,5,20,180,,,,,
ERR562598,2.0218,-84.5652,40,20,180,27.61049,33.46018,203.11935,1.072909,0.321279
ERR562678,23.4183,37.245,80,0.8,5,26.050367,40.196433,179.968,1.201064,0.224444
ERR562509,-9.1508,-140.4969,5,180,2000,26.520483,35.384483,190.7865,5.053192,0.263712
ERR562580,-21.092,-35.417,150,5,20,21.754043,36.760054,201.656679,0.669548,0.167522
ERR562691,23.41,37.2383,80,20,180,26.140876,40.178726,181.68816,0.218477,0.208139
ERR562662,37.4532,15.4596,65,0.8,5,18.24971,38.262447,220.830542,,0.154014
ERR562402,-30.1403,-43.2641,120,20,180,19.33485,36.282975,216.2725,-0.409573,0.256037
ERR562595,39.0856,5.7927,5,180,2000,23.8526,37.9751,,,-0.0247
ERR562695,18.5584,66.4725,25,180,2000,26.748267,36.369233,192.536833,-0.737324,0.242524
ERR562403,-8.8984,-140.3089,5,5,20,26.63952,35.35772,189.8109,5.321003,0.162506
